notebook,model,split,MAE,RMSE,R2,MAPE
regression,Prophet_cangio,train,0.39389023676716317,0.7015356693727726,0.8559790675884847,99.11968105346908
regression,Prophet_cangio,val,0.4624731576725283,0.8266150233500766,0.8303816280800538,102.30593125016192
regression,Prophet_cangio,test,0.38695158966482174,0.6940302907769481,0.8500967739767775,83.20393034635558
regression,Prophet_cuchi,train,0.38551165435798274,0.6689145623534275,0.863698935792409,97.15365422844637
regression,Prophet_cuchi,val,0.4806029981613607,0.824452613460263,0.8287826383540922,120.82821424520354
regression,Prophet_cuchi,test,0.42118714392567363,0.6968632205758012,0.8466454799177775,112.58403925129676
regression,Prophet_dalat,train,0.35069289987789026,0.6139203837501646,0.86235093362746,90.97484279377277
regression,Prophet_dalat,val,0.39807444689648275,0.7615354781351255,0.8268823413323778,92.23451989451297
regression,Prophet_dalat,test,0.3042684603393202,0.6074474838557383,0.8437992120886906,64.9783191097646
regression,Prophet_hcm,train,0.37788459604091046,0.6553831489878866,0.8656106885780227,96.047319107011
regression,Prophet_hcm,val,0.4713501918158686,0.7991175185800105,0.8346622095330136,128.6702436458067
regression,Prophet_hcm,test,0.4271594360135899,0.6922126348271305,0.845676616181999,124.19777836613785
regression,Prophet_longhai,train,0.38526343903502624,0.6704766775007094,0.8640234201991749,101.00619590780543
regression,Prophet_longhai,val,0.4638970948973134,0.8221217917974203,0.8293862424740889,101.30397547117373
regression,Prophet_longhai,test,0.40542324350509845,0.7007384049532122,0.8440890975680697,97.75414177165744
regression,Prophet_nhabe,train,0.37753008704815394,0.6540333479528124,0.8664750645855653,96.43353681818691
regression,Prophet_nhabe,val,0.472465806910826,0.7954071437534055,0.8360882978995648,128.68826264621916
regression,Prophet_nhabe,test,0.41809691514498903,0.6797812691393558,0.851609580606445,114.49547259029944
regression,Prophet_thuduc,train,0.38108132001127937,0.6614455420187332,0.8666167757689045,96.92660970274237
regression,Prophet_thuduc,val,0.4751996829078713,0.8076986649626525,0.8362352278936209,123.15975469366948
regression,Prophet_thuduc,test,0.42194707341803844,0.6774657997405551,0.851819229285828,119.70136003259597
regression,Prophet_vungtau,train,0.38732625085554273,0.6746160535130131,0.8635310626847139,100.70158674577081
regression,Prophet_vungtau,val,0.46891355538961516,0.8425023839900226,0.822482514043066,105.5562750075265
regression,Prophet_vungtau,test,0.40431649899752387,0.7097853441644005,0.8408271471647525,96.00326378689755
